Club,Season,League,,,Copa del Rey,,Champions,,Other,,Total,
,,,,,,,League,,,,,
,,Division,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals
Barcelona C,2003–04[496],Tercera División,10,5,—,,—,,—,,10,5
Barcelona B,2003–04[41],Segunda División B,5,0,—,,—,,—,,5,0
,2004–05[42],Segunda División B,17,6,—,,—,,—,,17,6
,Total,,22,6,—,,—,,—,,22,6
Barcelona,2004–05[42],La Liga,7,1,1,0,1,0,—,,9,1
,2005–06[56],La Liga,17,6,2,1,6,1,0,0,25,8
,2006–07[59],La Liga,26,14,2,2,5,1,3[a],0,36,17
,2007–08[74],La Liga,28,10,3,0,9,6,—,,40,16
,2008–09[82],La Liga,31,23,8,6,12,9,—,,51,38
,2009–10[95],La Liga,35,34,3,1,11,8,4[b],4,53,47
,2010–11[111],La Liga,33,31,7,7,13,12,2[c],3,55,53
,2011–12[118],La Liga,37,50,7,3,11,14,5[d],6,60,73
,2012–13[160],La Liga,32,46,5,4,11,8,2[c],2,50,60
,2013–14[168],La Liga,31,28,6,5,7,8,2[c],0,46,41
,2014–15[185],La Liga,38,43,6,5,13,10,—,,57,58
,2015–16[497],La Liga,33,26,5,5,7,6,4[e],4,49,41
,2016–17[498],La Liga,34,37,7,5,9,11,2[c],1,52,54
,2017–18[499],La Liga,36,34,6,4,10,6,2[c],1,54,45
,2018–19[500],La Liga,7,5,0,0,2,5,1[c],0,10,10
,Total,,425,388,68,48,127,105,27,21,647,562
Career total,,,457,399,68,48,127,105,27,21,679,573
